# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;3
3;2
4;4
5;3
6;5
7;4
8;6
9;5
10;6
11;7
12;7
13;1
14;2
15;1
16;2
17;3
18;4
19;5
20;6
21;7
22;7
23;1
24;1
25;2
26;2
27;3
28;4
29;3
30;4
31;5
32;6
33;5
34;7
35;1
36;6
37;2
38;4
39;5
40;3
41;4
42;6
43;7
44;5
45;6
46;1
47;7
48;1
49;2
50;3
51;4
52;2
53;3
54;5
55;1
56;2
57;3
58;6
59;7
60;1
61;2
62;4
63;5
64;3
65;6
66;7
67;4
68;5
69;6
70;7
71;1
72;2
73;5
74;3
75;4
76;5
77;6
78;6
79;7
80;1
81;7
82;2
83;1
84;3
85;4
86;5
87;2
88;6
89;3
90;4
91;2
92;3
93;4
94;5
95;7
96;1
97;2
98;3
99;6
100;7
101;4
102;5
103;6
104;7
105;1
106;1
107;2
108;3
109;4
110;5
111;6
112;6
113;7
114;1
115;2
116;3
117;7
118;1
119;2
120;4
121;3
122;4
123;5
124;6
125;7
126;5
