# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;1
3;2
4;2
5;3
6;3
7;4
8;4
9;5
10;6
11;5
12;1
13;2
14;3
15;4
16;6
17;5
18;1
19;2
20;6
21;3
22;4
23;5
24;6
25;1
26;1
27;2
28;2
29;3
30;4
31;3
32;5
33;6
34;4
35;5
36;6
37;1
38;1
39;2
40;3
41;2
42;4
43;3
44;5
45;4
46;6
47;1
48;5
49;2
50;6
51;1
52;3
53;2
54;4
55;3
56;4
57;5
58;6
59;5
60;1
61;2
62;3
63;4
64;6
65;1
66;5
67;2
68;3
69;6
70;4
71;5
72;6
73;1
74;2
75;3
76;4
77;5
78;1
79;2
80;3
81;4
82;6
83;5
84;1
85;2
86;3
87;4
88;6
89;5
90;6
91;1
92;2
93;3
94;1
95;4
96;5
97;2
98;6
99;1
100;3
101;4
102;2
103;3
104;4
105;5
106;5
107;6
108;6
109;1
110;2
111;3
112;4
113;1
114;2
115;5
116;3
117;4
118;6
119;1
120;2
121;3
122;5
123;4
124;6
125;5
126;6
127;1
128;2
129;3
130;4
131;5
132;1
133;6
134;1
135;2
136;3
137;2
138;3
139;4
140;5
141;4
142;5
143;6
144;6
145;1
146;1
147;2
148;2
149;3
150;4
151;3
152;5
153;4
154;6
155;5
156;6
157;1
158;2
159;3
160;1
161;2
162;3
163;4
164;4
165;5
166;6
167;1
168;5
169;6
170;1
171;2
172;3
173;4
174;2
175;3
176;5
177;6
178;4
179;5
180;1
181;2
182;3
183;6
184;1
185;4
186;2
187;5
188;3
189;6
190;4
191;5
192;1
193;6
194;2
195;1
196;2
197;3
198;4
199;5
200;3
201;4
202;6
203;1
204;5
205;6
206;2
207;3
208;4
209;1
210;5
211;2
212;3
213;4
214;6
215;5
216;6
217;1
218;1
219;2
220;2
221;3
222;4
223;5
224;6
225;1
226;3
227;2
228;3
229;4
230;5
231;4
232;5
233;6
234;1
235;6
236;2
237;3
238;4
239;1
240;5
241;2
242;6
243;3
244;4
245;5
246;6
247;1
248;1
249;2
250;3
251;2
252;3
253;4
254;5
255;6
256;4
257;1
258;2
259;3
260;4
261;5
262;6
263;5
264;6
265;1
266;2
267;3
268;1
269;4
270;2
271;5
272;3
273;6
274;1
275;4
276;5
277;6
278;1
279;2
280;2
281;3
282;3
283;4
284;5
285;6
286;4
287;5
288;6
289;1
290;1
291;2
292;2
293;3
294;3
295;4
296;4
297;5
298;5
299;6
300;1
301;2
302;3
303;4
304;5
305;6
306;6
307;1
308;2
309;1
310;2
311;3
312;4
313;3
314;4
315;5
316;6
317;5
318;1
319;2
320;6
321;1
322;2
323;3
324;4
325;5
326;6
327;1
328;3
329;4
330;5
331;2
332;3
333;4
334;5
335;6
336;6
337;1
338;1
339;2
340;2
341;3
342;4
343;3
344;5
345;4
346;6
347;5
348;1
349;2
350;3
351;6
352;1
353;4
354;5
355;6
356;2
357;3
358;4
359;5
360;6
361;1
362;2
363;1
364;3
365;4
366;5
367;2
368;6
369;3
370;4
371;1
372;5
373;2
374;3
375;6
376;4
377;5
378;1
379;6
380;1
381;2
382;3
383;2
384;3
385;4
386;4
387;5
388;6
389;5
390;6
391;1
392;1
393;2
394;2
395;3
396;4
397;5
398;6
399;1
400;3
401;2
402;3
403;4
404;4
405;5
406;6
407;1
408;5
409;2
410;3
411;6
412;1
413;4
414;2
415;3
416;4
417;5
418;5
419;6
420;6
421;1
422;1
423;2
424;3
425;4
426;2
427;3
428;4
429;5
430;5
431;6
432;6
