# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;4
3;2
4;5
5;3
6;4
7;1
8;2
9;3
10;4
11;5
12;1
13;5
14;2
15;1
16;2
17;3
18;3
19;4
20;4
21;5
22;1
23;5
24;2
25;1
26;3
27;2
28;3
29;4
30;4
31;5
32;5
33;1
34;1
35;2
36;3
37;2
38;3
39;4
40;5
41;5
42;1
43;1
44;2
45;3
46;2
47;3
48;4
49;5
50;4
51;5
52;1
53;1
54;2
55;2
56;3
57;3
58;4
59;4
60;5
61;1
62;2
63;5
64;1
65;3
66;4
67;5
68;1
69;2
70;3
71;2
72;4
73;3
74;4
75;5
76;1
77;2
78;3
79;4
80;1
81;5
82;2
83;1
84;3
85;4
86;2
87;3
88;4
89;5
90;5
91;1
92;1
93;2
94;2
95;3
96;4
97;5
98;3
99;1
100;4
101;5
102;2
103;1
104;2
105;3
106;3
107;4
108;5
109;4
110;2
111;5
112;3
113;1
114;4
115;2
116;3
117;4
118;5
119;5
120;1
121;1
122;2
123;3
124;4
125;5
126;2
127;1
128;2
129;3
130;4
131;5
132;3
133;4
134;5
135;1
136;1
137;2
138;2
139;3
140;4
141;5
142;1
143;3
144;4
145;5
146;1
147;3
148;4
149;2
150;5
151;3
152;4
153;1
154;5
155;1
156;2
157;3
158;2
159;4
160;5
161;3
162;4
163;1
164;5
165;2
166;3
167;1
168;4
169;2
170;3
171;5
172;1
173;2
174;4
175;3
176;4
177;5
178;5
179;1
180;2
