# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;6
3;5
4;6
5;6
6;1
7;2
8;4
9;2
10;5
11;2
12;4
13;6
14;1
15;3
16;2
17;6
18;3
19;4
20;3
21;3
22;3
23;2
24;1
25;5
26;5
27;6
28;6
29;2
30;6
31;6
32;1
33;1
34;4
35;4
36;3
37;4
38;3
39;5
40;2
41;5
42;1
43;5
44;5
45;6
46;4
47;1
48;2
49;2
50;3
51;6
52;2
53;5
54;4
55;5
56;1
57;2
58;4
59;6
60;5
61;4
62;1
63;3
64;5
65;3
66;6
67;4
68;4
69;1
70;2
71;3
72;3
73;1
74;4
75;2
76;4
77;3
78;3
79;3
80;3
81;5
82;5
83;1
84;5
85;6
86;6
87;4
88;6
89;2
90;1
91;1
92;5
93;3
94;4
95;2
96;5
97;1
98;4
99;2
100;1
101;2
102;4
103;6
104;6
105;1
106;5
107;3
108;2
