# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;5
2;1
3;1
4;1
5;1
6;2
7;2
8;3
9;2
10;1
11;4
12;6
13;4
14;3
15;5
16;6
17;4
18;3
19;2
20;4
21;6
22;2
23;3
24;6
25;5
26;1
27;2
28;3
29;3
30;1
31;4
32;6
33;5
34;1
35;3
36;6
37;1
38;2
39;2
40;2
41;5
42;4
43;3
44;6
45;2
46;4
47;4
48;4
49;1
50;5
51;3
52;6
53;2
54;5
55;2
56;3
57;4
58;2
59;4
60;4
61;2
62;6
63;3
64;3
65;5
66;3
67;1
68;5
69;1
70;6
71;5
72;6
73;6
74;6
75;5
76;5
77;1
78;6
79;3
80;5
81;1
82;4
83;4
84;3
85;2
86;3
87;2
88;4
89;4
90;1
91;6
92;6
93;3
94;2
95;3
96;6
97;5
98;5
99;1
100;1
101;6
102;5
103;2
104;4
105;5
106;4
107;1
108;5
