# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;2
3;2
4;3
5;3
6;4
7;5
8;4
9;5
10;1
11;1
12;2
13;2
14;3
15;3
16;4
17;4
18;5
19;1
20;2
21;3
22;5
23;4
24;5
25;1
26;2
27;3
28;1
29;4
30;2
31;5
32;3
33;1
34;2
35;4
36;3
37;5
38;1
39;4
40;2
41;5
42;3
43;4
44;1
45;5
46;1
47;2
48;3
49;2
50;4
51;5
52;1
53;3
54;4
55;2
56;5
57;1
58;3
59;4
60;5
61;2
62;1
63;3
64;2
65;3
66;4
67;4
68;5
69;5
70;1
71;1
72;2
73;4
74;3
75;5
76;1
77;4
78;2
79;3
80;4
81;5
82;1
83;2
84;5
85;1
86;2
87;3
88;3
89;4
90;5
91;4
92;1
93;5
94;1
95;2
96;2
97;3
98;3
99;4
100;4
101;5
102;5
103;1
104;1
105;2
106;3
107;2
108;4
109;5
110;3
111;4
112;1
113;2
114;3
115;5
116;4
117;1
118;5
119;2
120;3
121;4
122;5
123;1
124;2
125;3
126;1
127;4
128;5
129;2
130;1
131;2
132;3
133;4
134;3
135;5
136;1
137;4
138;2
139;3
140;5
141;4
142;1
143;2
144;3
145;5
146;1
147;1
148;2
149;3
150;4
151;2
152;3
153;5
154;4
155;1
156;2
157;3
158;5
159;4
160;5
161;1
162;2
163;3
164;4
165;1
166;5
167;2
168;3
169;4
170;1
171;2
172;3
173;5
174;1
175;2
176;4
177;3
178;4
179;5
180;1
181;5
182;1
183;2
184;2
185;3
186;3
187;4
188;5
189;1
190;2
191;4
192;5
193;3
194;4
195;1
196;2
197;3
198;4
199;5
200;5
201;1
202;2
203;1
204;3
205;2
206;3
207;4
208;4
209;5
210;1
211;2
212;5
213;3
214;1
215;4
216;5
217;3
218;2
219;3
220;4
221;4
222;5
223;5
224;1
225;1
226;2
227;2
228;3
229;4
230;3
231;5
232;1
233;2
234;4
235;3
236;5
237;4
238;1
239;2
240;3
241;5
242;4
243;1
244;2
245;5
246;1
247;2
248;3
249;4
250;3
251;5
252;1
253;4
254;2
255;5
256;3
257;1
258;2
259;4
260;5
261;3
262;4
263;5
264;1
265;1
266;2
267;2
268;3
269;4
270;3
271;4
272;5
273;1
274;5
275;2
276;1
277;2
278;3
279;4
280;3
281;4
282;5
283;1
284;2
285;5
286;1
287;2
288;3
289;4
290;5
291;5
292;1
293;1
294;2
295;3
296;2
297;3
298;4
299;5
300;4
301;5
302;1
303;2
304;1
305;3
306;4
307;2
308;3
309;5
310;4
311;1
312;5
313;1
314;2
315;2
316;3
317;4
318;3
319;4
320;5
321;5
322;1
323;2
324;3
325;1
326;2
327;3
328;4
329;5
330;1
331;2
332;4
333;3
334;4
335;5
336;1
337;5
338;2
339;3
340;1
341;4
342;5
343;2
344;1
345;3
346;4
347;2
348;3
349;4
350;5
351;5
352;1
353;1
354;2
355;2
356;3
357;4
358;5
359;3
360;4
