# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;3
2;1
3;2
4;4
5;3
6;5
7;6
8;4
9;5
10;7
11;6
12;7
13;1
14;2
15;3
16;4
17;1
18;2
19;7
20;5
21;1
22;2
23;6
24;3
25;7
26;4
27;1
28;5
29;2
30;6
31;3
32;7
33;1
34;4
35;5
36;6
37;2
38;4
39;3
40;5
41;4
42;5
43;6
44;6
45;7
46;7
47;1
48;2
49;1
50;3
51;2
52;3
53;4
54;5
55;6
56;7
57;1
58;2
59;1
60;2
61;3
62;3
63;4
64;5
65;4
66;6
67;5
68;6
69;7
70;7
71;1
72;2
73;5
74;3
75;6
76;7
77;4
78;1
79;2
80;3
81;5
82;6
83;4
84;5
85;7
86;1
87;6
88;2
89;3
90;4
91;2
92;7
93;1
94;2
95;3
96;3
97;4
98;5
99;6
100;7
101;1
102;4
103;5
104;6
105;2
106;7
107;3
108;1
109;4
110;5
111;6
112;7
113;6
114;1
115;7
116;1
117;2
118;2
119;3
120;3
121;4
122;5
123;4
124;6
125;5
126;7
