# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;1
3;2
4;2
5;3
6;3
7;1
8;2
9;3
10;1
11;1
12;2
13;3
14;2
15;3
16;1
17;2
18;3
19;1
20;1
21;2
22;3
23;1
24;2
25;2
26;3
27;1
28;3
29;2
30;1
31;3
32;2
33;1
34;2
35;3
36;3
37;1
38;1
39;2
40;2
41;3
42;3
43;1
44;2
45;3
46;1
47;2
48;1
49;3
50;2
51;3
52;1
53;2
54;1
55;3
56;2
57;1
58;3
59;2
60;1
61;2
62;3
63;3
64;1
65;2
66;1
67;3
68;2
69;1
70;3
71;2
72;3
73;1
74;2
75;3
76;1
77;1
78;2
79;3
80;1
81;2
82;2
83;3
84;3
85;1
86;1
87;2
88;2
89;3
90;3
91;1
92;1
93;2
94;3
95;1
96;2
97;3
98;2
99;3
100;1
101;2
102;3
103;1
104;1
105;2
106;3
107;2
108;3
