# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;2
3;3
4;3
5;4
6;1
7;2
8;3
9;1
10;1
11;4
12;2
13;2
14;4
15;1
16;3
17;3
18;2
19;3
20;4
21;3
22;2
23;1
24;4
25;2
26;1
27;3
28;4
29;4
30;1
31;1
32;2
33;2
34;1
35;2
36;4
37;2
38;3
39;4
40;3
41;2
42;3
43;3
44;3
45;2
46;1
47;1
48;1
49;2
50;3
51;1
52;4
53;1
54;1
55;4
56;3
57;2
58;1
59;4
60;1
61;4
62;1
63;1
64;2
65;2
66;4
67;2
68;3
69;4
70;4
71;4
72;3
73;4
74;4
75;1
76;4
77;3
78;3
79;4
80;1
81;2
82;3
83;4
84;4
85;4
86;3
87;4
88;2
89;3
90;4
91;1
92;2
93;3
94;1
95;2
96;2
97;3
98;3
99;4
100;2
101;3
102;2
103;1
104;1
105;2
106;1
107;1
108;4
109;2
110;2
111;3
112;2
113;3
114;2
115;4
116;3
117;1
118;1
119;2
120;3
121;3
122;4
123;1
124;3
125;4
126;2
127;3
128;1
129;4
130;4
131;1
132;1
133;2
134;2
135;2
136;3
137;4
138;3
139;4
140;1
141;1
142;3
143;2
144;4
