# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;2
3;3
4;2
5;3
6;4
7;4
8;1
9;1
10;2
11;2
12;3
13;3
14;4
15;4
16;1
17;1
18;2
19;3
20;4
21;1
22;2
23;3
24;4
25;2
26;3
27;1
28;4
29;1
30;2
31;3
32;1
33;2
34;4
35;3
36;1
37;4
38;2
39;1
40;3
41;2
42;4
43;3
44;1
45;2
46;4
47;1
48;3
49;4
50;1
51;2
52;3
53;4
54;2
55;3
56;4
57;1
58;4
59;2
60;3
61;4
62;1
63;2
64;1
65;3
66;4
67;1
68;2
69;2
70;3
71;4
72;1
73;3
74;2
75;4
76;3
77;1
78;2
79;4
80;1
81;3
82;2
83;3
84;4
85;3
86;4
87;1
88;1
89;2
90;2
91;3
92;3
93;4
94;1
95;4
96;2
97;3
98;4
99;1
100;2
101;1
102;3
103;4
104;2
105;1
106;3
107;4
108;2
