# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;2
2;1
3;3
4;4
5;1
6;2
7;3
8;4
9;1
10;2
11;2
12;3
13;4
14;3
15;1
16;2
17;3
18;4
19;1
20;4
21;1
22;2
23;3
24;2
25;3
26;4
27;1
28;4
29;1
30;1
31;2
32;3
33;4
34;2
35;3
36;4
37;1
38;2
39;3
40;4
41;1
42;2
43;1
44;2
45;3
46;3
47;4
48;4
49;1
50;2
51;3
52;4
53;1
54;2
55;3
56;4
57;1
58;2
59;3
60;4
61;4
62;1
63;2
64;1
65;2
66;3
67;4
68;1
69;3
70;2
71;3
72;4
73;4
74;1
75;1
76;2
77;2
78;3
79;3
80;4
81;1
82;2
83;3
84;3
85;4
86;4
87;1
88;1
89;2
90;3
91;2
92;4
93;3
94;4
95;1
96;2
97;3
98;4
99;1
100;1
101;2
102;2
103;3
104;3
105;4
106;4
107;1
108;2
