# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;2
3;3
4;4
5;1
6;2
7;3
8;4
9;5
10;5
11;6
12;6
13;1
14;1
15;2
16;2
17;3
18;3
19;4
20;5
21;4
22;5
23;6
24;6
25;1
26;2
27;1
28;3
29;2
30;3
31;4
32;4
33;5
34;5
35;6
36;6
37;1
38;2
39;3
40;1
41;2
42;4
43;5
44;3
45;6
46;4
47;1
48;2
49;5
50;6
51;3
52;1
53;4
54;5
55;2
56;3
57;6
58;1
59;4
60;5
61;6
62;1
63;2
64;2
65;3
66;4
67;3
68;4
69;5
70;5
71;6
72;6
73;1
74;1
75;2
76;3
77;2
78;3
79;4
80;5
81;4
82;6
83;5
84;6
85;1
86;2
87;3
88;1
89;2
90;4
91;5
92;3
93;4
94;6
95;1
96;5
97;6
98;1
99;2
100;3
101;2
102;4
103;3
104;4
105;5
106;6
107;5
108;6
109;1
110;1
111;2
112;2
113;3
114;4
115;5
116;3
117;4
118;5
119;6
120;1
121;2
122;6
123;1
124;2
125;3
126;4
127;3
128;4
129;5
130;6
131;5
132;6
133;1
134;1
135;2
136;2
137;3
138;3
139;4
140;4
141;5
142;5
143;6
144;6
145;1
146;1
147;2
148;3
149;4
150;5
151;6
152;1
153;2
154;3
155;4
156;5
157;6
158;2
159;3
160;1
161;2
162;4
163;3
164;4
165;5
166;6
167;1
168;2
169;5
170;3
171;6
172;1
173;2
174;3
175;4
176;4
177;5
178;5
179;6
180;6
181;1
182;2
183;1
184;3
185;2
186;3
187;4
188;4
189;5
190;5
191;6
192;6
193;1
194;1
195;2
196;2
197;3
198;3
199;4
200;4
201;5
202;5
203;6
204;6
205;1
206;2
207;3
208;4
209;1
210;2
211;3
212;4
213;5
214;6
215;5
216;6
