# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;2
3;2
4;3
5;3
6;4
7;1
8;2
9;4
10;1
11;3
12;2
13;3
14;4
15;1
16;4
17;2
18;1
19;2
20;3
21;3
22;4
23;4
24;1
25;1
26;2
27;3
28;4
29;1
30;1
31;2
32;3
33;2
34;4
35;3
36;1
37;2
38;4
39;3
40;1
41;2
42;4
43;3
44;1
45;2
46;4
47;1
48;2
49;3
50;3
51;4
52;1
53;2
54;4
55;4
56;3
57;4
58;1
59;2
60;3
61;1
62;4
63;2
64;3
65;4
66;1
67;2
68;3
69;1
70;4
71;2
72;3
73;4
74;1
75;2
76;3
77;1
78;2
79;3
80;4
81;1
82;2
83;3
84;4
85;3
86;1
87;4
88;2
89;3
90;1
91;4
92;2
93;3
94;4
95;1
96;1
97;2
98;3
99;2
100;3
101;4
102;4
103;1
104;1
105;2
106;3
107;4
108;2
