# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;5
3;2
4;1
5;3
6;4
7;2
8;3
9;4
10;5
11;5
12;1
13;1
14;2
15;2
16;3
17;4
18;3
19;3
20;4
21;5
22;4
23;1
24;2
25;3
26;5
27;1
28;4
29;5
30;2
31;3
32;4
33;5
34;1
35;1
36;2
37;2
38;1
39;3
40;4
41;5
42;2
43;3
44;4
45;5
46;1
47;2
48;3
49;1
50;2
51;4
52;3
53;4
54;5
55;4
56;5
57;1
58;5
59;1
60;2
61;3
62;2
63;4
64;5
65;1
66;2
67;3
68;3
69;4
70;5
71;1
72;2
73;3
74;4
75;5
76;2
77;3
78;4
79;1
80;5
81;1
82;2
83;3
84;2
85;4
86;5
87;3
88;4
89;1
90;5
