# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;1
3;2
4;3
5;4
6;2
7;3
8;4
9;5
10;6
11;1
12;5
13;6
14;2
15;3
16;1
17;2
18;4
19;3
20;5
21;4
22;5
23;6
24;1
25;2
26;3
27;6
28;1
29;2
30;3
31;4
32;5
33;4
34;5
35;6
36;6
37;1
38;1
39;2
40;3
41;2
42;4
43;3
44;5
45;4
46;6
47;5
48;6
49;1
50;2
51;1
52;2
53;3
54;4
55;3
56;5
57;6
58;1
59;2
60;4
61;3
62;4
63;5
64;6
65;5
66;1
67;2
68;6
69;3
70;4
71;5
72;6
73;1
74;2
75;3
76;4
77;1
78;5
79;6
80;2
81;3
82;4
83;5
84;6
85;1
86;1
87;2
88;2
89;3
90;3
91;4
92;5
93;4
94;6
95;1
96;5
97;2
98;6
99;1
100;2
101;3
102;3
103;4
104;4
105;5
106;6
107;5
108;6
109;1
110;1
111;2
112;2
113;3
114;3
115;4
116;5
117;6
118;1
119;4
120;5
121;2
122;3
123;6
124;1
125;2
126;3
127;4
128;4
129;5
130;5
131;6
132;6
133;1
134;1
135;2
136;2
137;3
138;4
139;3
140;4
141;5
142;5
143;6
144;6
145;1
146;1
147;2
148;2
149;3
150;4
151;5
152;3
153;4
154;5
155;6
156;1
157;6
158;1
159;2
160;2
161;3
162;3
163;4
164;5
165;4
166;5
167;6
168;1
169;6
170;2
171;1
172;2
173;3
174;4
175;3
176;4
177;5
178;5
179;6
180;6
181;1
182;2
183;1
184;2
185;3
186;4
187;3
188;4
189;5
190;5
191;6
192;1
193;2
194;6
195;3
196;1
197;2
198;3
199;4
200;4
201;5
202;6
203;5
204;1
205;6
206;1
207;2
208;2
209;3
210;3
211;4
212;4
213;5
214;5
215;6
216;6
217;1
218;1
219;2
220;2
221;3
222;4
223;3
224;4
225;5
226;6
227;5
228;6
229;1
230;1
231;2
232;2
233;3
234;3
235;4
236;5
237;4
238;6
239;1
240;2
241;3
242;4
243;5
244;6
245;5
246;6
247;1
248;1
249;2
250;2
251;3
252;3
253;4
254;5
255;6
256;1
257;2
258;3
259;4
260;4
261;5
262;6
263;5
264;1
265;6
266;1
267;2
268;2
269;3
270;4
271;3
272;5
273;6
274;1
275;4
276;5
277;2
278;3
279;6
280;1
281;4
282;2
283;3
284;5
285;4
286;6
287;5
288;6
289;1
290;2
291;1
292;3
293;4
294;2
295;5
296;3
297;4
298;5
299;6
300;6
301;1
302;1
303;2
304;3
305;4
306;5
307;2
308;3
309;4
310;6
311;5
312;6
313;1
314;2
315;1
316;3
317;2
318;4
319;5
320;3
321;4
322;6
323;1
324;5
325;6
326;2
327;3
328;4
329;5
330;1
331;2
332;3
333;6
334;1
335;2
336;4
337;5
338;6
339;1
340;3
341;2
342;4
343;5
344;6
345;1
346;3
347;4
348;2
349;3
350;4
351;5
352;6
353;1
354;2
355;3
356;4
357;5
358;6
359;5
360;6
361;1
362;1
363;2
364;3
365;2
366;4
367;5
368;6
369;1
370;3
371;4
372;5
373;6
374;2
375;3
376;1
377;2
378;3
379;4
380;5
381;4
382;6
383;1
384;2
385;5
386;6
387;1
388;3
389;2
390;3
391;4
392;4
393;5
394;6
395;1
396;5
397;2
398;6
399;1
400;2
401;3
402;4
403;5
404;3
405;6
406;1
407;2
408;3
409;4
410;5
411;4
412;6
413;1
414;2
415;3
416;4
417;5
418;5
419;6
420;6
421;1
422;2
423;1
424;2
425;3
426;4
427;3
428;4
429;5
430;6
431;5
432;6
