# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;5
3;2
4;6
5;3
6;7
7;4
8;5
9;1
10;2
11;3
12;6
13;7
14;1
15;4
16;5
17;6
18;7
19;2
20;1
21;2
22;3
23;3
24;4
25;5
26;4
27;5
28;6
29;6
30;7
31;7
32;1
33;2
34;1
35;3
36;4
37;2
38;6
39;3
40;7
41;4
42;1
43;5
44;6
45;7
46;2
47;1
48;2
49;3
50;4
51;5
52;6
53;3
54;7
55;4
56;5
57;6
58;1
59;2
60;3
61;7
62;4
63;1
64;2
65;3
66;4
67;5
68;6
69;5
70;7
71;1
72;2
73;7
74;3
75;4
76;5
77;6
78;7
79;1
80;1
81;2
82;2
83;3
84;3
85;4
86;5
87;6
88;4
89;5
90;7
91;6
92;1
93;7
94;1
95;2
96;3
97;2
98;4
99;5
100;6
101;3
102;4
103;5
104;7
105;1
106;2
107;3
108;6
109;1
110;4
111;2
112;5
113;6
114;3
115;4
116;5
117;6
118;7
119;1
120;2
121;3
122;7
123;4
124;5
125;1
126;6
127;2
128;7
129;1
130;2
131;3
132;3
133;4
134;5
135;6
136;7
137;1
138;2
139;4
140;3
141;5
142;6
143;4
144;7
145;5
146;6
147;7
148;2
149;1
150;3
151;4
152;2
153;5
154;6
155;3
156;7
157;4
158;5
159;6
160;1
161;7
162;1
163;2
164;3
165;4
166;2
167;5
168;6
169;3
170;4
171;5
172;6
173;7
174;7
175;1
176;2
177;1
178;3
179;4
180;5
181;6
182;7
183;3
184;1
185;4
186;2
187;3
188;4
189;5
190;6
191;7
192;1
193;5
194;2
195;6
196;7
197;1
198;3
199;4
200;2
201;5
202;3
203;4
204;6
205;5
206;6
207;7
208;7
209;1
210;1
211;2
212;3
213;4
214;5
215;2
216;6
217;4
218;5
219;7
220;6
221;1
222;7
223;1
224;2
225;2
226;3
227;4
228;5
229;3
230;4
231;5
232;6
233;6
234;7
235;7
236;1
237;2
238;1
239;3
240;2
241;4
242;3
243;4
244;5
245;5
246;6
247;6
248;7
249;1
250;2
251;3
252;7
