# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;3
2;4
3;4
4;4
5;2
6;3
7;2
8;3
9;4
10;1
11;1
12;2
13;3
14;1
15;4
16;2
17;1
18;2
19;4
20;4
21;3
22;4
23;1
24;2
25;1
26;2
27;3
28;3
29;4
30;1
31;1
32;2
33;3
34;2
35;4
36;2
37;3
38;4
39;1
40;2
41;1
42;3
43;4
44;2
45;1
46;3
47;4
48;4
49;1
50;2
51;3
52;4
53;3
54;3
55;4
56;1
57;2
58;3
59;2
60;2
61;1
62;3
63;4
64;3
65;2
66;1
67;1
68;4
69;3
70;1
71;4
72;2
73;3
74;1
75;4
76;3
77;1
78;3
79;3
80;4
81;3
82;1
83;2
84;3
85;4
86;2
87;1
88;2
89;1
90;1
91;2
92;4
93;2
94;1
95;3
96;4
97;1
98;3
99;4
100;1
101;2
102;1
103;4
104;3
105;2
106;2
107;3
108;4
109;1
110;3
111;4
112;1
113;2
114;2
115;3
116;4
117;3
118;1
119;2
120;3
121;4
122;1
123;2
124;4
125;3
126;4
127;1
128;2
129;1
130;2
131;4
132;4
133;3
134;4
135;1
136;2
137;1
138;3
139;2
140;3
141;2
142;1
143;2
144;4
