# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;2
2;3
3;4
4;1
5;5
6;1
7;2
8;3
9;2
10;4
11;5
12;1
13;2
14;3
15;4
16;3
17;4
18;5
19;1
20;2
21;3
22;5
23;4
24;5
25;1
26;2
27;3
28;1
29;4
30;2
31;5
32;1
33;3
34;4
35;2
36;3
37;5
38;4
39;1
40;5
41;2
42;3
43;1
44;4
45;5
46;1
47;2
48;2
49;3
50;4
51;3
52;4
53;5
54;5
55;1
56;2
57;1
58;2
59;3
60;4
61;5
62;1
63;2
64;3
65;3
66;4
67;5
68;4
69;5
70;1
71;1
72;2
73;3
74;4
75;5
76;4
77;5
78;1
79;1
80;2
81;2
82;3
83;3
84;4
85;5
86;4
87;5
88;1
89;2
90;1
91;3
92;4
93;5
94;2
95;1
96;3
97;4
98;5
99;2
100;1
101;3
102;2
103;3
104;4
105;5
106;4
107;1
108;2
109;3
110;5
111;4
112;1
113;2
114;5
115;3
116;4
117;1
118;5
119;2
120;3
121;1
122;4
123;2
124;3
125;5
126;4
127;5
128;1
129;1
130;2
131;2
132;3
133;3
134;4
135;5
136;4
137;5
138;1
139;2
140;1
141;2
142;3
143;3
144;4
145;5
146;1
147;2
148;1
149;3
150;2
151;3
152;4
153;4
154;5
155;1
156;2
157;5
158;3
159;4
160;5
161;1
162;1
163;2
164;3
165;4
166;2
167;3
168;4
169;5
170;5
171;1
172;1
173;2
174;3
175;4
176;2
177;3
178;5
179;1
180;4
181;5
182;2
183;1
184;3
185;2
186;3
187;4
188;4
189;5
190;1
191;5
192;2
193;1
194;2
195;3
196;3
197;4
198;5
199;1
200;4
201;2
202;5
203;3
204;1
205;2
206;3
207;4
208;5
209;1
210;4
211;5
212;2
213;3
214;4
215;5
216;1
217;2
218;3
219;3
220;4
221;4
222;5
223;5
224;1
225;1
226;2
227;2
228;3
229;4
230;3
231;4
232;5
233;1
234;2
235;3
236;5
237;4
238;1
239;5
240;2
241;3
242;4
243;5
244;1
245;2
246;1
247;3
248;4
249;5
250;1
251;2
252;2
253;3
254;3
255;4
256;4
257;5
258;1
259;5
260;1
261;2
262;2
263;3
264;4
265;5
266;3
267;1
268;2
269;3
270;4
271;5
272;1
273;4
274;2
275;5
276;3
277;1
278;2
279;4
280;5
281;1
282;2
283;3
284;3
285;4
286;5
287;1
288;2
289;5
290;1
291;2
292;3
293;4
294;4
295;5
296;1
297;5
298;2
299;3
300;1
301;2
302;3
303;4
304;5
305;4
306;5
307;1
308;1
309;2
310;2
311;3
312;3
313;4
314;5
315;4
316;1
317;5
318;2
319;3
320;1
321;4
322;2
323;5
324;1
325;3
326;4
327;5
328;1
329;2
330;2
331;3
332;3
333;4
334;5
335;4
336;5
337;1
338;1
339;2
340;2
341;3
342;3
343;4
344;4
345;5
346;5
347;1
348;1
349;2
350;2
351;3
352;4
353;3
354;4
355;5
356;1
357;2
358;3
359;5
360;4
