# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;1
3;2
4;3
5;4
6;1
7;2
8;2
9;3
10;4
11;1
12;3
13;2
14;4
15;1
16;2
17;3
18;4
19;1
20;3
21;2
22;4
23;1
24;3
25;4
26;2
27;1
28;3
29;2
30;4
31;3
32;4
33;1
34;2
35;1
36;3
37;4
38;2
39;1
40;3
41;4
42;1
43;2
44;3
45;2
46;3
47;4
48;1
49;4
50;1
51;2
52;3
53;2
54;3
55;4
56;1
57;4
58;1
59;2
60;2
61;3
62;3
63;4
64;4
65;1
66;1
67;2
68;2
69;3
70;3
71;4
72;4
73;1
74;2
75;3
76;4
77;1
78;1
79;2
80;2
81;3
82;3
83;4
84;1
85;2
86;4
87;1
88;3
89;4
90;1
91;2
92;2
93;3
94;3
95;4
96;1
97;2
98;4
99;1
100;2
101;3
102;3
103;4
104;4
105;1
106;1
107;2
108;2
109;3
110;3
111;4
112;4
113;1
114;1
115;2
116;2
117;3
118;4
119;1
120;2
121;3
122;4
123;1
124;3
125;4
126;2
127;1
128;2
129;3
130;4
131;1
132;3
133;4
134;2
135;1
136;3
137;2
138;4
139;1
140;3
141;4
142;2
143;3
144;4
145;1
146;1
147;2
148;3
149;2
150;4
151;1
152;2
153;3
154;3
155;4
156;1
157;4
158;1
159;2
160;3
161;2
162;3
163;4
164;4
165;1
166;2
167;1
168;2
169;3
170;3
171;4
172;4
173;1
174;1
175;2
176;2
177;3
178;3
179;4
180;4
181;1
182;2
183;3
184;4
185;1
186;2
187;1
188;2
189;3
190;3
191;4
192;1
193;2
194;3
195;4
196;1
197;4
198;1
199;2
200;3
201;2
202;3
203;4
204;4
205;1
206;1
207;2
208;2
209;3
210;3
211;4
212;1
213;2
214;3
215;4
216;4
217;1
218;1
219;2
220;2
221;3
222;4
223;3
224;4
225;1
226;1
227;2
228;2
229;3
230;3
231;4
232;4
233;1
234;1
235;2
236;3
237;4
238;2
239;3
240;1
241;2
242;3
243;4
244;1
245;4
246;2
247;3
248;1
249;4
250;2
251;3
252;1
253;2
254;3
255;4
256;4
257;1
258;1
259;2
260;3
261;4
262;1
263;2
264;3
265;4
266;2
267;3
268;4
269;1
270;1
271;2
272;3
273;4
274;2
275;3
276;1
277;2
278;3
279;4
280;4
281;1
282;1
283;2
284;2
285;3
286;3
287;4
288;4
