# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;3
2;1
3;4
4;1
5;2
6;3
7;3
8;3
9;3
10;4
11;1
12;3
13;2
14;4
15;2
16;4
17;3
18;1
19;2
20;1
21;4
22;1
23;2
24;1
25;2
26;2
27;3
28;4
29;1
30;2
31;4
32;3
33;4
34;4
35;1
36;2
37;3
38;1
39;4
40;4
41;2
42;2
43;3
44;3
45;4
46;3
47;1
48;2
49;1
50;3
51;2
52;4
53;2
54;4
55;1
56;2
57;3
58;1
59;2
60;3
61;4
62;4
63;1
64;2
65;1
66;3
67;4
68;2
69;2
70;1
71;4
72;3
73;3
74;4
75;1
76;1
77;2
78;3
79;4
80;4
81;2
82;2
83;1
84;4
85;3
86;3
87;1
88;1
89;2
90;2
91;3
92;4
93;3
94;2
95;4
96;3
97;1
98;2
99;3
100;4
101;3
102;4
103;1
104;1
105;2
106;2
107;3
108;4
109;3
110;2
111;2
112;4
113;3
114;4
115;1
116;2
117;3
118;1
119;2
120;3
121;3
122;4
123;1
124;1
125;1
126;1
127;2
128;4
129;3
130;1
131;4
132;1
133;1
134;3
135;4
136;1
137;2
138;4
139;2
140;4
141;1
142;2
143;3
144;4
