# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;5
3;1
4;2
5;2
6;3
7;4
8;3
9;5
10;1
11;4
12;5
13;2
14;1
15;3
16;2
17;3
18;4
19;3
20;4
21;5
22;1
23;2
24;3
25;4
26;4
27;5
28;1
29;5
30;2
31;3
32;4
33;1
34;5
35;2
36;1
37;1
38;2
39;2
40;3
41;4
42;3
43;4
44;5
45;5
46;1
47;1
48;2
49;2
50;3
51;3
52;4
53;4
54;5
55;4
56;5
57;1
58;2
59;5
60;1
61;3
62;2
63;4
64;5
65;3
66;4
67;1
68;2
69;5
70;1
71;2
72;3
73;2
74;3
75;3
76;4
77;5
78;4
79;1
80;2
81;5
82;3
83;1
84;2
85;4
86;5
87;3
88;4
89;5
90;1
