# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;7
2;1
3;1
4;2
5;2
6;3
7;4
8;3
9;4
10;5
11;5
12;6
13;7
14;6
15;7
16;1
17;1
18;2
19;2
20;3
21;4
22;5
23;6
24;3
25;4
26;5
27;6
28;6
29;7
30;7
31;1
32;2
33;1
34;3
35;4
36;2
37;5
38;3
39;6
40;4
41;5
42;6
43;7
44;7
45;1
46;1
47;2
48;3
49;4
50;2
51;3
52;5
53;4
54;5
55;5
56;6
57;7
58;6
59;1
60;2
61;7
62;1
63;2
64;3
65;4
66;5
67;3
68;6
69;4
70;5
71;7
72;6
73;1
74;7
75;1
76;2
77;3
78;2
79;3
80;4
81;4
82;4
83;5
84;6
85;5
86;7
87;6
88;1
89;2
90;3
91;7
92;1
93;2
94;4
95;5
96;3
97;4
98;5
99;6
100;7
101;1
102;6
103;7
104;1
105;2
106;2
107;3
108;3
109;4
110;3
111;4
112;5
113;5
114;6
115;7
116;6
117;1
118;2
119;7
120;1
121;3
122;2
123;4
124;3
125;4
126;5
127;6
128;5
129;7
130;6
131;7
132;1
133;2
134;1
135;2
136;2
137;3
138;4
139;3
140;4
141;5
142;5
143;6
144;6
145;7
146;1
147;2
148;7
149;3
150;4
151;1
152;2
153;3
154;4
155;5
156;5
157;6
158;7
159;1
160;6
161;7
162;1
163;2
164;3
165;1
166;4
167;5
168;6
169;2
170;7
171;1
172;3
173;4
174;2
175;3
176;5
177;4
178;5
179;6
180;6
181;7
182;7
183;1
184;2
185;3
186;4
187;5
188;6
189;7
