# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;1
3;2
4;3
5;2
6;3
7;4
8;1
9;4
10;1
11;2
12;3
13;4
14;1
15;2
16;3
17;4
18;1
19;2
20;2
21;3
22;3
23;4
24;4
25;1
26;1
27;2
28;2
29;3
30;3
31;4
32;1
33;2
34;3
35;4
36;1
37;2
38;3
39;4
40;4
41;1
42;1
43;2
44;2
45;3
46;3
47;4
48;4
49;1
50;2
51;1
52;3
53;2
54;3
55;4
56;1
57;4
58;2
59;1
60;2
61;3
62;3
63;4
64;4
65;1
66;1
67;2
68;2
69;3
70;3
71;4
72;4
73;1
74;1
75;2
76;3
77;4
78;2
79;3
80;4
81;1
82;1
83;2
84;2
85;3
86;4
87;1
88;3
89;2
90;3
91;4
92;4
93;1
94;2
95;3
96;4
97;1
98;2
99;3
100;4
101;1
102;1
103;2
104;2
105;3
106;4
107;1
108;2
109;3
110;4
111;1
112;2
113;3
114;4
115;3
116;4
117;1
118;2
119;3
120;4
121;1
122;2
123;1
124;2
125;3
126;4
127;1
128;2
129;3
130;3
131;4
132;4
133;1
134;2
135;3
136;1
137;4
138;1
139;2
140;2
141;3
142;3
143;4
144;4
145;1
146;1
147;2
148;3
149;2
150;4
151;3
152;1
153;4
154;2
155;3
156;1
157;4
158;1
159;2
160;3
161;4
162;1
163;2
164;3
165;2
166;3
167;4
168;4
169;1
170;2
171;1
172;2
173;3
174;3
175;4
176;4
177;1
178;2
179;3
180;4
181;1
182;1
183;2
184;2
185;3
186;3
187;4
188;4
189;1
190;2
191;1
192;3
193;4
194;2
195;1
196;2
197;3
198;3
199;4
200;4
201;1
202;2
203;1
204;2
205;3
206;3
207;4
208;1
209;4
210;2
211;3
212;1
213;4
214;2
215;3
216;4
217;1
218;1
219;2
220;2
221;3
222;3
223;4
224;4
225;1
226;1
227;2
228;2
229;3
230;3
231;4
232;4
233;1
234;2
235;3
236;4
237;1
238;1
239;2
240;2
241;3
242;3
243;4
244;1
245;4
246;2
247;1
248;2
249;3
250;4
251;1
252;2
253;3
254;3
255;4
256;1
257;2
258;3
259;4
260;1
261;2
262;3
263;4
264;4
265;1
266;2
267;1
268;3
269;4
270;2
271;3
272;1
273;4
274;1
275;2
276;2
277;3
278;4
279;1
280;3
281;4
282;1
283;2
284;3
285;2
286;4
287;3
288;4
