# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;3
2;3
3;4
4;2
5;1
6;2
7;2
8;4
9;1
10;3
11;2
12;3
13;4
14;4
15;1
16;1
17;2
18;3
19;1
20;4
21;2
22;2
23;3
24;4
25;3
26;1
27;1
28;3
29;3
30;3
31;2
32;1
33;4
34;1
35;4
36;2
37;3
38;1
39;2
40;4
41;1
42;3
43;2
44;3
45;2
46;1
47;3
48;3
49;4
50;4
51;1
52;1
53;2
54;2
55;2
56;4
57;1
58;3
59;4
60;2
61;3
62;4
63;4
64;1
65;2
66;3
67;4
68;1
69;3
70;2
71;3
72;4
73;4
74;2
75;1
76;1
77;4
78;2
79;2
80;3
81;4
82;4
83;3
84;1
85;2
86;2
87;2
88;4
89;3
90;4
91;2
92;3
93;1
94;1
95;1
96;2
97;3
98;1
99;1
100;2
101;4
102;1
103;3
104;1
105;3
106;2
107;3
108;4
109;4
110;2
111;3
112;4
113;3
114;4
115;2
116;2
117;1
118;1
119;4
120;2
121;3
122;4
123;1
124;1
125;4
126;2
127;3
128;4
129;1
130;1
131;3
132;4
133;3
134;4
135;1
136;2
137;3
138;4
139;1
140;2
141;3
142;4
143;1
144;2
