# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;3
2;3
3;5
4;4
5;2
6;1
7;2
8;1
9;1
10;5
11;4
12;6
13;6
14;2
15;1
16;4
17;5
18;3
19;2
20;2
21;4
22;6
23;2
24;5
25;1
26;5
27;2
28;1
29;5
30;4
31;3
32;1
33;6
34;3
35;2
36;6
37;5
38;5
39;2
40;5
41;3
42;4
43;4
44;3
45;3
46;2
47;1
48;6
49;1
50;6
51;4
52;1
53;6
54;6
55;2
56;6
57;1
58;2
59;6
60;3
61;5
62;4
63;3
64;5
65;6
66;2
67;4
68;4
69;6
70;1
71;5
72;3
73;5
74;3
75;2
76;3
77;4
78;4
79;5
80;5
81;3
82;5
83;2
84;6
85;1
86;4
87;4
88;6
89;1
90;2
91;4
92;1
93;3
94;2
95;1
96;6
97;4
98;5
99;4
100;3
101;6
102;6
103;1
104;1
105;2
106;3
107;3
108;5
