# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;4
3;2
4;5
5;1
6;3
7;4
8;5
9;2
10;1
11;3
12;2
13;3
14;4
15;5
16;4
17;1
18;5
19;2
20;1
21;3
22;2
23;4
24;5
25;1
26;2
27;3
28;1
29;2
30;3
31;3
32;4
33;5
34;4
35;1
36;5
37;1
38;2
39;2
40;3
41;3
42;4
43;4
44;5
45;5
46;1
47;1
48;2
49;3
50;4
51;5
52;2
53;3
54;4
55;3
56;4
57;5
58;5
59;1
60;1
61;2
62;2
63;3
64;4
65;5
66;3
67;4
68;5
69;1
70;2
71;3
72;4
73;1
74;2
75;5
76;3
77;1
78;4
79;5
80;1
81;2
82;5
83;1
84;2
85;2
86;3
87;3
88;4
89;5
90;4
91;1
92;2
93;5
94;1
95;3
96;4
97;2
98;5
99;3
100;4
101;1
102;5
103;2
104;3
105;1
106;2
107;3
108;4
109;2
110;4
111;5
112;1
113;3
114;4
115;2
116;3
117;5
118;1
119;2
120;3
121;4
122;4
123;5
124;1
125;2
126;5
127;1
128;2
129;3
130;4
131;3
132;5
133;4
134;5
135;1
