# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;5
2;1
3;1
4;2
5;3
6;4
7;2
8;3
9;4
10;5
11;5
12;1
13;2
14;3
15;4
16;1
17;2
18;3
19;4
20;3
21;4
22;5
23;1
24;5
25;2
26;3
27;4
28;1
29;2
30;5
31;3
32;4
33;5
34;1
35;1
36;2
37;1
38;2
39;2
40;3
41;3
42;4
43;5
44;4
45;1
46;5
47;1
48;2
49;3
50;4
51;2
52;3
53;5
54;4
55;4
56;5
57;5
58;1
59;1
60;2
61;3
62;4
63;2
64;5
65;3
66;4
67;1
68;2
69;5
70;1
71;3
72;2
73;3
74;4
75;2
76;3
77;4
78;5
79;1
80;5
81;1
82;2
83;2
84;3
85;4
86;3
87;5
88;4
89;5
90;1
