# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 36 estudiantes por curso
# P = 5 preferencias por estudiante
# C = 2 cursos nuevos
# Total = 72 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_36_l_5_s_2_i_8
semilla=50401
N=72
C=2
L=36
P=5

[CURSOS_NUEVOS]
curso;capacidad
1;36
2;36

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2
minimo_O1=17
minimo_O2=17

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;M;1;3;3
2;O1;F;2;2;3
3;O1;M;3;3;1
4;O1;M;3;1;3
5;O1;M;3;3;3
6;O1;M;3;3;2
7;O1;F;3;2;2
8;O1;M;2;3;3
9;O1;M;3;3;3
10;O1;M;1;1;1
11;O1;F;1;2;1
12;O1;F;1;2;1
13;O1;F;2;3;3
14;O1;F;3;2;3
15;O1;F;3;1;2
16;O1;M;3;2;1
17;O1;F;3;2;1
18;O1;F;1;2;2
19;O1;F;3;1;2
20;O1;F;2;1;1
21;O1;M;1;1;3
22;O1;F;3;3;1
23;O1;M;1;3;3
24;O1;F;2;3;2
25;O1;F;2;1;1
26;O1;M;2;3;1
27;O1;F;2;2;1
28;O1;M;2;2;1
29;O1;M;2;2;2
30;O1;F;2;1;2
31;O1;F;1;3;3
32;O1;M;3;3;3
33;O1;M;2;2;2
34;O1;M;3;1;3
35;O1;F;1;1;2
36;O1;M;3;3;3
37;O2;F;3;1;2
38;O2;M;2;3;1
39;O2;M;3;1;3
40;O2;F;1;1;3
41;O2;F;3;3;2
42;O2;F;3;2;3
43;O2;M;3;3;3
44;O2;F;3;2;3
45;O2;F;1;3;2
46;O2;F;2;2;2
47;O2;M;3;2;2
48;O2;F;2;2;2
49;O2;F;3;2;2
50;O2;F;2;2;1
51;O2;M;2;1;1
52;O2;F;3;3;2
53;O2;F;2;3;2
54;O2;M;1;2;2
55;O2;M;1;1;1
56;O2;F;3;3;3
57;O2;M;2;1;3
58;O2;M;1;3;2
59;O2;M;3;3;2
60;O2;F;2;1;2
61;O2;M;3;3;1
62;O2;M;1;1;2
63;O2;F;1;2;2
64;O2;M;2;3;3
65;O2;F;3;3;1
66;O2;M;3;2;1
67;O2;M;3;1;1
68;O2;F;1;2;1
69;O2;M;3;1;1
70;O2;M;2;2;1
71;O2;M;2;3;3
72;O2;F;1;1;2

[PREFERENCIAS]
# En esta familia P=5, por lo que cada estudiante tiene 5 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3;preferencia_4;preferencia_5
1;44;64;43;16;40
2;60;12;52;22;35
3;65;68;42;59;61
4;12;9;44;59;72
5;57;56;63;26;12
6;31;49;37;55;22
7;23;50;42;11;15
8;61;51;25;37;26
9;25;65;39;11;62
10;70;69;40;60;3
11;56;15;71;51;21
12;4;10;24;51;66
13;52;59;22;44;47
14;41;53;70;57;22
15;53;22;24;56;63
16;5;33;40;2;17
17;40;28;55;26;37
18;9;12;46;2;7
19;24;38;48;4;47
20;12;23;2;28;43
21;48;50;41;26;27
22;65;16;34;29;54
23;15;34;58;26;52
24;42;18;67;1;53
25;34;22;57;19;13
26;55;72;60;64;28
27;2;56;15;37;21
28;24;45;66;21;60
29;15;66;27;10;59
30;21;42;47;39;62
31;11;53;39;69;15
32;25;4;13;36;63
33;6;45;58;53;25
34;64;59;48;65;30
35;31;24;1;11;46
36;17;55;58;41;70
37;33;41;69;56;59
38;27;17;42;3;59
39;22;28;70;4;69
40;13;16;52;36;15
41;19;68;52;48;44
42;55;49;69;1;35
43;62;34;68;63;15
44;47;12;49;1;4
45;66;3;37;50;57
46;62;39;16;6;4
47;6;60;24;23;70
48;54;29;12;50;65
49;72;65;35;66;41
50;26;32;7;21;27
51;14;16;13;58;64
52;59;71;48;53;42
53;45;31;37;23;54
54;14;2;64;39;24
55;65;18;24;68;32
56;72;49;14;57;1
57;23;48;55;66;4
58;62;20;5;42;61
59;31;7;5;61;23
60;28;51;12;46;70
61;64;53;18;5;49
62;63;24;71;46;23
63;57;11;17;25;70
64;68;62;24;26;56
65;21;41;10;50;23
66;25;49;41;71;45
67;70;6;15;20;63
68;72;62;65;66;30
69;38;11;6;47;8
70;64;69;19;59;50
71;50;19;9;52;54
72;62;23;45;22;38

[SEPARACIONES]
estudiante_i;estudiante_j
2;33
2;35
9;54
12;61
12;63
13;22
16;40
18;30
19;55
22;44
23;29
28;40
28;42
31;35
36;58
53;55
60;68
68;69

[NOTAS]
generacion=aleatoria_controlada
preferencias_por_estudiante=P_fijo
genero=balanceado_dentro_de_cada_curso_de_origen
criterios_perfil=sorteados_de_forma_independiente
separaciones=aprox_N_div_4
estado=instancia_de_experimento
pesos_funcion_objetivo=no_incluidos_en_la_instancia
factibilidad=se_uso_una_asignacion_testigo_solo_para_generar_la_instancia
