# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 27 estudiantes por curso
# P = 3 preferencias por estudiante
# C = 4 cursos nuevos
# Total = 108 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_27_l_3_s_4_i_3
semilla=30527
N=108
C=4
L=27
P=3

[CURSOS_NUEVOS]
curso;capacidad
1;27
2;27
3;27
4;27

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2,O3,O4
minimo_O1=5
minimo_O2=5
minimo_O3=5
minimo_O4=5

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;M;1;2;3
2;O1;F;3;3;2
3;O1;F;2;1;3
4;O1;F;1;1;1
5;O1;M;2;2;2
6;O1;F;3;1;1
7;O1;F;1;3;2
8;O1;M;2;2;3
9;O1;M;1;3;3
10;O1;M;1;2;2
11;O1;M;3;1;2
12;O1;M;2;1;3
13;O1;F;2;1;1
14;O1;M;2;1;1
15;O1;F;1;2;2
16;O1;M;1;1;2
17;O1;F;2;3;2
18;O1;M;2;2;3
19;O1;F;3;1;2
20;O1;F;3;1;3
21;O1;M;3;1;1
22;O1;F;1;3;2
23;O1;F;2;3;2
24;O1;M;2;2;2
25;O1;M;3;3;3
26;O1;M;1;1;3
27;O1;F;1;2;2
28;O2;F;3;3;2
29;O2;M;1;1;1
30;O2;M;3;1;3
31;O2;M;2;1;3
32;O2;M;1;2;2
33;O2;M;2;2;2
34;O2;F;3;1;1
35;O2;F;2;3;3
36;O2;F;1;3;3
37;O2;M;3;1;1
38;O2;F;2;1;2
39;O2;F;2;3;3
40;O2;F;2;3;1
41;O2;M;2;3;1
42;O2;F;2;3;1
43;O2;M;3;2;3
44;O2;F;3;3;2
45;O2;F;2;2;1
46;O2;M;1;3;2
47;O2;M;3;3;1
48;O2;F;1;3;3
49;O2;F;3;3;2
50;O2;M;1;2;3
51;O2;F;2;1;2
52;O2;M;2;3;2
53;O2;M;3;3;2
54;O2;M;2;2;1
55;O3;F;1;1;3
56;O3;F;1;1;2
57;O3;M;2;3;3
58;O3;F;2;1;2
59;O3;M;1;1;2
60;O3;M;2;1;2
61;O3;F;2;3;1
62;O3;F;1;1;1
63;O3;F;2;2;2
64;O3;F;2;2;1
65;O3;M;2;1;3
66;O3;M;1;3;1
67;O3;F;3;2;2
68;O3;M;3;2;3
69;O3;F;1;3;2
70;O3;M;3;2;3
71;O3;M;2;3;3
72;O3;M;2;2;1
73;O3;M;2;2;2
74;O3;M;1;2;2
75;O3;M;1;3;2
76;O3;F;3;3;2
77;O3;F;1;3;3
78;O3;M;3;2;3
79;O3;F;3;3;1
80;O3;F;2;3;1
81;O3;M;1;1;2
82;O4;F;3;1;3
83;O4;M;3;1;3
84;O4;M;1;1;1
85;O4;F;3;1;3
86;O4;M;3;1;3
87;O4;M;2;2;1
88;O4;F;2;2;1
89;O4;M;1;3;1
90;O4;M;2;3;2
91;O4;F;3;2;2
92;O4;F;2;1;2
93;O4;F;1;1;3
94;O4;M;1;2;1
95;O4;M;2;2;3
96;O4;M;3;2;2
97;O4;F;1;2;2
98;O4;F;3;1;1
99;O4;M;2;1;1
100;O4;M;1;1;3
101;O4;M;1;3;1
102;O4;F;1;2;2
103;O4;M;2;1;3
104;O4;F;3;3;1
105;O4;F;2;3;3
106;O4;M;1;3;3
107;O4;F;1;1;2
108;O4;F;3;3;3

[PREFERENCIAS]
# En esta familia P=3, por lo que cada estudiante tiene 3 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3
1;103;32;18
2;57;81;25
3;90;55;78
4;22;104;99
5;39;42;58
6;100;71;68
7;94;76;44
8;25;87;95
9;38;27;54
10;20;93;44
11;20;86;38
12;101;31;8
13;87;34;103
14;26;22;90
15;78;73;39
16;28;102;83
17;27;42;67
18;36;67;103
19;56;50;72
20;9;29;16
21;65;5;7
22;94;106;49
23;99;100;40
24;25;46;54
25;48;56;99
26;12;29;13
27;49;9;20
28;92;68;51
29;85;75;88
30;41;89;61
31;48;84;103
32;39;24;107
33;78;49;56
34;79;14;17
35;56;78;41
36;14;15;4
37;107;40;84
38;66;48;32
39;77;42;50
40;88;8;108
41;34;81;5
42;29;89;24
43;60;30;52
44;80;13;32
45;23;108;79
46;97;53;101
47;103;75;23
48;34;89;108
49;18;71;80
50;78;91;57
51;70;34;107
52;63;82;40
53;52;54;6
54;108;92;25
55;14;1;62
56;35;28;46
57;33;62;87
58;56;50;101
59;101;91;34
60;100;107;91
61;15;8;58
62;85;57;74
63;37;105;93
64;75;86;38
65;91;23;16
66;1;97;37
67;12;85;93
68;84;13;75
69;36;20;83
70;53;87;20
71;19;27;88
72;97;80;51
73;84;20;9
74;60;58;55
75;15;35;36
76;39;62;55
77;73;103;5
78;108;19;76
79;10;18;81
80;70;101;53
81;7;40;87
82;22;75;106
83;91;68;24
84;59;15;100
85;90;89;49
86;107;37;95
87;4;31;47
88;71;90;51
89;99;1;60
90;79;35;54
91;29;71;75
92;105;22;2
93;53;105;21
94;74;9;52
95;97;64;35
96;56;61;2
97;49;78;26
98;14;9;12
99;48;10;102
100;35;103;85
101;103;71;89
102;38;9;4
103;16;70;93
104;58;81;37
105;104;67;40
106;84;6;93
107;45;70;33
108;14;37;55

[SEPARACIONES]
estudiante_i;estudiante_j
8;41
9;35
9;60
10;64
11;39
14;90
15;63
16;43
17;70
20;53
20;85
21;29
21;50
22;82
22;106
24;47
27;37
30;80
37;84
37;96
40;100
52;104
54;93
56;87
61;106
76;92
83;105

[NOTAS]
generacion=aleatoria_controlada
preferencias_por_estudiante=P_fijo
genero=balanceado_dentro_de_cada_curso_de_origen
criterios_perfil=sorteados_de_forma_independiente
separaciones=aprox_N_div_4
estado=instancia_de_experimento
pesos_funcion_objetivo=no_incluidos_en_la_instancia
factibilidad=se_uso_una_asignacion_testigo_solo_para_generar_la_instancia
