# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 36 estudiantes por curso
# P = 5 preferencias por estudiante
# C = 3 cursos nuevos
# Total = 108 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_36_l_5_s_3_i_6
semilla=50488
N=108
C=3
L=36
P=5

[CURSOS_NUEVOS]
curso;capacidad
1;36
2;36
3;36

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2,O3
minimo_O1=11
minimo_O2=11
minimo_O3=11

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;M;3;2;2
2;O1;F;3;3;2
3;O1;F;2;2;2
4;O1;M;1;3;1
5;O1;M;1;3;1
6;O1;M;2;3;3
7;O1;F;1;3;3
8;O1;M;3;3;3
9;O1;M;2;1;3
10;O1;M;2;1;3
11;O1;F;2;3;2
12;O1;M;2;2;3
13;O1;M;1;2;3
14;O1;F;2;2;1
15;O1;F;3;1;1
16;O1;M;2;3;2
17;O1;M;1;1;3
18;O1;M;1;1;1
19;O1;F;2;3;2
20;O1;M;3;1;2
21;O1;M;1;3;2
22;O1;F;3;1;3
23;O1;F;2;3;2
24;O1;F;2;3;1
25;O1;F;3;3;3
26;O1;F;2;3;1
27;O1;F;3;2;1
28;O1;M;3;2;1
29;O1;F;3;1;2
30;O1;M;2;2;1
31;O1;F;1;3;3
32;O1;F;1;3;1
33;O1;M;1;3;3
34;O1;F;3;2;2
35;O1;M;1;1;2
36;O1;F;1;2;3
37;O2;F;3;1;1
38;O2;F;2;1;2
39;O2;M;3;2;1
40;O2;F;2;1;2
41;O2;F;1;2;3
42;O2;F;2;2;1
43;O2;F;1;1;2
44;O2;M;2;3;1
45;O2;M;3;3;2
46;O2;M;3;1;3
47;O2;M;1;2;1
48;O2;M;3;2;2
49;O2;F;1;3;2
50;O2;F;2;1;3
51;O2;F;2;3;1
52;O2;F;1;2;1
53;O2;M;3;3;2
54;O2;M;2;1;2
55;O2;M;2;2;2
56;O2;F;2;1;1
57;O2;M;3;3;1
58;O2;F;1;2;2
59;O2;M;2;3;1
60;O2;F;3;1;1
61;O2;F;1;2;3
62;O2;M;1;2;3
63;O2;F;3;1;3
64;O2;M;1;3;1
65;O2;M;2;2;2
66;O2;F;2;3;1
67;O2;M;2;1;3
68;O2;M;3;2;3
69;O2;M;3;3;1
70;O2;F;3;1;1
71;O2;F;1;2;2
72;O2;M;3;1;2
73;O3;M;1;3;2
74;O3;M;3;3;2
75;O3;F;1;3;3
76;O3;M;1;3;3
77;O3;F;3;1;3
78;O3;F;2;2;1
79;O3;F;1;3;2
80;O3;F;1;2;1
81;O3;F;3;3;3
82;O3;M;3;1;2
83;O3;F;1;3;3
84;O3;M;2;2;2
85;O3;M;2;2;3
86;O3;F;3;1;2
87;O3;F;2;3;2
88;O3;M;3;1;1
89;O3;M;1;2;3
90;O3;F;2;2;1
91;O3;F;2;1;1
92;O3;M;3;2;3
93;O3;M;1;1;3
94;O3;M;3;1;1
95;O3;F;2;2;3
96;O3;F;1;1;1
97;O3;M;1;3;3
98;O3;F;2;1;3
99;O3;F;1;1;3
100;O3;M;2;1;3
101;O3;F;1;3;1
102;O3;F;2;3;2
103;O3;M;1;2;1
104;O3;M;1;2;3
105;O3;M;3;3;1
106;O3;M;2;3;2
107;O3;F;3;2;3
108;O3;M;2;2;1

[PREFERENCIAS]
# En esta familia P=5, por lo que cada estudiante tiene 5 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3;preferencia_4;preferencia_5
1;22;4;54;108;83
2;54;4;47;8;28
3;6;102;58;63;5
4;61;103;73;8;67
5;38;2;106;66;56
6;74;18;79;53;82
7;41;48;6;54;79
8;54;67;84;45;41
9;15;5;70;93;12
10;19;92;69;88;94
11;95;66;84;16;8
12;75;61;47;108;57
13;32;25;99;23;72
14;11;30;71;64;35
15;65;28;96;90;68
16;72;30;25;50;20
17;33;20;35;25;96
18;1;22;48;61;67
19;67;85;33;20;13
20;8;45;100;24;14
21;11;81;66;54;90
22;17;106;27;52;104
23;71;37;46;34;16
24;105;62;55;47;9
25;43;54;94;14;96
26;29;35;70;51;39
27;19;60;58;25;24
28;77;106;23;1;46
29;37;28;66;64;65
30;6;95;49;80;26
31;76;66;57;64;1
32;64;49;46;35;78
33;52;36;107;70;43
34;5;30;98;66;73
