# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 9 estudiantes por curso
# P = 5 preferencias por estudiante
# C = 7 cursos nuevos
# Total = 63 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_9_l_5_s_7_i_3
semilla=50790
N=63
C=7
L=9
P=5

[CURSOS_NUEVOS]
curso;capacidad
1;9
2;9
3;9
4;9
5;9
6;9
7;9

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2,O3,O4,O5,O6,O7
minimo_O1=0
minimo_O2=0
minimo_O3=0
minimo_O4=0
minimo_O5=0
minimo_O6=0
minimo_O7=0

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;M;2;2;2
2;O1;F;3;1;2
3;O1;F;3;1;2
4;O1;M;1;2;1
5;O1;F;3;2;3
6;O1;F;3;2;1
7;O1;M;1;1;2
8;O1;M;1;3;3
9;O1;M;1;1;3
10;O2;F;2;3;1
11;O2;M;1;1;2
12;O2;F;3;3;1
13;O2;M;2;3;3
14;O2;M;1;1;1
15;O2;M;2;2;2
16;O2;F;3;2;1
17;O2;M;3;1;2
18;O2;F;3;1;1
19;O3;F;2;3;1
20;O3;M;1;2;3
21;O3;F;3;2;1
22;O3;M;1;2;1
23;O3;M;2;1;3
24;O3;M;2;1;2
25;O3;F;1;2;2
26;O3;M;1;3;3
27;O3;F;1;1;2
28;O4;F;3;1;3
29;O4;F;2;3;3
30;O4;M;1;3;2
31;O4;F;2;3;2
32;O4;M;3;1;2
33;O4;M;2;1;1
34;O4;M;3;1;3
35;O4;F;2;3;1
36;O4;M;2;1;2
37;O5;F;1;2;2
38;O5;F;1;3;3
39;O5;M;1;3;3
40;O5;M;2;2;3
41;O5;M;3;3;3
42;O5;F;1;3;2
43;O5;M;3;1;1
44;O5;F;1;2;3
45;O5;M;2;1;1
46;O6;M;1;1;3
47;O6;M;1;3;3
48;O6;F;1;3;2
49;O6;F;3;3;2
50;O6;M;1;2;2
51;O6;F;2;1;3
52;O6;M;3;3;1
53;O6;F;3;2;1
54;O6;M;2;3;3
55;O7;M;3;2;1
56;O7;F;2;2;1
57;O7;M;2;1;3
58;O7;M;1;2;2
59;O7;M;3;2;3
60;O7;F;1;1;2
61;O7;F;1;1;3
62;O7;F;3;3;2
63;O7;M;2;2;2

[PREFERENCIAS]
# En esta familia P=5, por lo que cada estudiante tiene 5 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3;preferencia_4;preferencia_5
1;11;26;53;9;21
2;18;4;54;30;22
3;62;21;57;51;28
4;5;47;40;15;34
5;63;6;56;4;27
6;56;54;43;27;23
7;48;19;13;35;57
8;54;46;35;21;27
9;29;44;14;34;54
10;59;17;23;4;37
11;14;19;35;27;53
12;14;44;9;37;35
13;49;5;31;4;35
14;46;56;18;33;7
15;25;6;26;35;53
16;23;61;40;6;21
17;4;11;21;49;25
18;11;54;22;58;36
19;45;51;34;25;16
20;46;13;17;25;52
21;24;57;20;56;11
22;46;53;38;61;40
23;16;5;27;1;44
24;43;6;31;10;53
25;18;43;26;49;42
26;13;3;54;28;52
27;6;19;23;24;26
28;55;34;49;18;17
29;42;61;38;9;62
30;47;43;28;46;37
31;43;35;38;41;42
32;40;17;14;34;52
33;48;23;51;43;8
34;3;14;7;52;56
35;9;7;23;46;53
36;45;28;55;11;33
37;42;23;47;31;43
38;42;50;36;39;55
39;17;19;41;34;7
40;19;53;6;12;42
41;14;56;10;51;45
42;38;60;44;52;61
43;53;11;20;44;14
44;27;6;3;8;21
45;63;7;62;48;10
46;50;15;10;9;43
47;57;23;28;13;2
48;43;17;20;39;11
49;44;12;59;27;55
50;57;45;41;47;62
51;55;54;6;4;17
52;25;24;50;12;42
53;59;23;32;29;43
54;26;12;27;62;11
55;47;12;2;10;50
56;30;39;41;22;37
57;10;32;45;29;52
58;13;55;35;22;27
59;1;36;54;53;52
60;51;26;13;15;7
61;18;57;29;42;8
62;12;2;1;18;51
63;2;28;62;34;19

[SEPARACIONES]
estudiante_i;estudiante_j
3;58
8;42
8;63
12;28
14;58
15;46
21;40
25;51
27;33
27;54
32;47
32;63
34;51
41;57
50;57
57;60

[NOTAS]
generacion=aleatoria_controlada
preferencias_por_estudiante=P_fijo
genero=balanceado_dentro_de_cada_curso_de_origen
criterios_perfil=sorteados_de_forma_independiente
separaciones=aprox_N_div_4
estado=instancia_de_experimento
pesos_funcion_objetivo=no_incluidos_en_la_instancia
factibilidad=se_uso_una_asignacion_testigo_solo_para_generar_la_instancia
