# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 36 estudiantes por curso
# P = 5 preferencias por estudiante
# C = 5 cursos nuevos
# Total = 180 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_36_l_5_s_5_i_9
semilla=50711
N=180
C=5
L=36
P=5

[CURSOS_NUEVOS]
curso;capacidad
1;36
2;36
3;36
4;36
5;36

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2,O3,O4,O5
minimo_O1=6
minimo_O2=6
minimo_O3=6
minimo_O4=6
minimo_O5=6

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;F;1;3;2
2;O1;F;2;3;1
3;O1;F;2;1;3
4;O1;M;2;3;2
5;O1;F;3;2;3
6;O1;M;1;2;2
7;O1;M;1;3;1
8;O1;F;2;1;1
9;O1;M;2;2;1
10;O1;F;1;2;3
11;O1;F;2;3;1
12;O1;M;2;1;1
13;O1;F;2;1;3
14;O1;M;2;3;2
15;O1;M;2;3;3
16;O1;M;3;2;1
17;O1;F;2;2;2
18;O1;M;3;1;3
19;O1;M;2;1;1
20;O1;M;3;3;3
21;O1;F;1;3;2
22;O1;F;2;1;1
23;O1;M;3;2;3
24;O1;M;3;3;2
25;O1;F;1;1;3
26;O1;F;2;1;3
27;O1;M;3;2;2
28;O1;M;1;2;3
29;O1;M;2;3;2
30;O1;F;3;2;1
31;O1;F;3;1;2
32;O1;F;1;3;3
33;O1;M;1;2;1
34;O1;F;2;1;3
35;O1;M;2;1;2
36;O1;F;2;1;2
37;O2;M;2;2;3
38;O2;F;2;1;1
39;O2;M;1;2;3
40;O2;F;2;1;2
41;O2;F;3;2;1
42;O2;F;3;1;3
43;O2;M;3;1;1
44;O2;M;1;1;3
45;O2;F;2;2;3
46;O2;F;1;2;3
47;O2;M;2;1;2
48;O2;F;3;2;2
49;O2;F;2;1;1
50;O2;F;2;2;2
51;O2;M;3;1;3
52;O2;M;3;3;1
53;O2;F;1;1;3
54;O2;M;3;2;3
55;O2;F;1;3;1
56;O2;M;3;3;2
57;O2;M;3;2;2
58;O2;F;1;1;3
59;O2;F;2;1;3
60;O2;F;3;1;3
61;O2;F;3;2;3
62;O2;M;2;3;1
63;O2;M;1;3;1
64;O2;M;1;1;1
65;O2;F;3;3;1
66;O2;M;1;1;3
67;O2;M;1;1;3
68;O2;M;3;1;2
69;O2;F;1;2;1
70;O2;F;1;1;2
71;O2;M;1;2;2
72;O2;M;3;1;2
73;O3;M;2;3;2
74;O3;F;1;2;3
75;O3;F;2;3;2
76;O3;M;3;2;2
77;O3;F;3;1;2
78;O3;F;1;3;1
79;O3;M;3;3;3
80;O3;M;3;3;2
81;O3;M;1;1;2
82;O3;F;2;1;3
83;O3;F;3;2;1
84;O3;M;1;1;1
85;O3;F;2;1;2
86;O3;F;1;2;2
87;O3;F;3;1;3
88;O3;F;3;3;2
89;O3;M;2;2;1
90;O3;M;3;2;3
91;O3;M;1;2;2
92;O3;M;3;2;2
93;O3;M;3;2;2
94;O3;M;2;1;3
95;O3;F;1;2;1
96;O3;F;2;3;3
97;O3;M;1;3;2
98;O3;F;1;1;3
99;O3;F;3;3;2
100;O3;M;2;2;3
101;O3;M;3;3;1
102;O3;F;3;2;1
103;O3;F;3;1;2
104;O3;F;1;1;1
105;O3;M;3;2;2
106;O3;M;2;2;3
107;O3;F;3;2;2
108;O3;M;3;1;1
109;O4;F;3;2;3
110;O4;F;2;2;3
111;O4;F;3;3;3
112;O4;M;1;3;3
113;O4;M;2;1;2
114;O4;F;2;2;3
115;O4;M;1;1;2
116;O4;F;1;2;1
117;O4;F;1;3;2
118;O4;M;2;1;2
119;O4;F;1;1;1
120;O4;F;2;1;3
121;O4;M;1;1;1
122;O4;F;2;2;2
123;O4;M;3;2;3
124;O4;M;3;1;1
125;O4;M;2;3;2
126;O4;F;3;3;1
127;O4;F;3;1;1
128;O4;F;3;1;2
129;O4;M;1;1;1
130;O4;M;1;1;2
131;O4;F;3;2;3
132;O4;M;3;3;1
133;O4;F;1;1;1
134;O4;F;1;1;3
135;O4;M;1;1;1
136;O4;M;1;1;3
137;O4;M;3;2;3
138;O4;M;3;3;1
139;O4;F;3;2;2
140;O4;M;2;1;2
141;O4;F;3;1;3
142;O4;M;1;3;3
143;O4;M;1;3;3
144;O4;F;3;2;1
145;O5;F;1;1;1
146;O5;M;2;1;3
147;O5;M;2;1;3
148;O5;F;1;1;2
149;O5;M;2;2;2
150;O5;M;2;2;2
151;O5;F;1;3;2
152;O5;M;2;1;3
153;O5;F;3;2;1
154;O5;M;3;2;1
155;O5;M;2;3;2
156;O5;M;2;3;1
157;O5;F;1;2;3
158;O5;F;2;2;1
159;O5;F;2;2;3
160;O5;F;1;1;1
161;O5;M;1;2;3
162;O5;M;3;2;2
163;O5;F;3;3;2
164;O5;F;1;1;1
165;O5;M;3;2;3
166;O5;M;1;1;1
167;O5;F;3;2;1
168;O5;M;3;2;3
169;O5;F;3;3;2
170;O5;F;2;3;3
171;O5;M;1;3;2
172;O5;F;2;3;3
173;O5;M;2;3;3
174;O5;F;1;3;1
175;O5;M;3;2;3
176;O5;M;3;2;1
177;O5;M;1;3;1
178;O5;F;2;2;2
179;O5;F;2;3;1
180;O5;F;3;3;3

[PREFERENCIAS]
# En esta familia P=5, por lo que cada estudiante tiene 5 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3;preferencia_4;preferencia_5
1;157;36;45;104;58
